City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,geraldton,-28.7667,114.6,12.23,100,9,4.63,AU,1723070684
133,markaz-e hukumat-e darweshan,31.1323,64.1934,29.68,14,3,3.51,AF,1723070894
134,jambi city,-1.6,103.6167,23.54,86,100,1.31,ID,1723070897
135,cabo san lucas,22.8909,-109.9124,33.61,58,0,8.75,MX,1723070898
136,metlili chaamba,32.2667,3.6333,34.52,21,0,2.06,DZ,1723070899
137,ilulissat,69.2167,-51.1,5.01,93,100,3.09,GL,1723070900
138,corinto,37.9407,22.9573,26.61,57,0,0.85,GR,1723070901
139,ilhabela,-23.7781,-45.3581,22.98,55,13,1.68,BR,1723070902
140,mcminnville,45.2101,-123.1987,32.02,43,0,4.12,US,1723070799
141,rikaze,29.25,88.8833,13.61,55,100,1.9,CN,1723070905
142,east london,-33.0153,27.9116,19.1,31,24,1.54,ZA,1723070717
143,barakani,-12.1356,44.4317,23.94,73,6,0.66,KM,1723070907
144,ust-nera,64.5667,143.2,12.13,84,100,1.49,RU,1723070908
145,torit,4.4133,32.5678,22.13,71,70,1.09,SS,1723070909
146,tadine,-21.55,167.8833,21.21,59,100,4.0,NC,1723070910
147,fale old settlement,-9.3852,-171.2468,28.12,68,97,8.3,TK,1723070911
148,santa terezinha,-29.9002,-50.0904,15.86,96,100,2.71,BR,1723070913
149,uturoa,-16.7333,-151.4333,26.01,80,12,5.11,PF,1723070914
150,loei,17.4167,101.5,18.65,93,100,1.19,TH,1723070915
151,mil'kovo,55.6078,37.7956,19.24,71,98,1.7,RU,1723070916
152,anshun,26.25,105.9333,18.69,98,12,1.84,CN,1723070917
153,nagqu,31.5,92.0,6.35,78,100,1.23,CN,1723070918
154,tolanaro,-25.0319,46.9987,21.04,83,75,5.14,MG,1723070920
155,cootamundra,-34.65,148.0333,6.64,72,37,1.95,AU,1723070921
156,avarua,-21.2078,-159.775,25.03,65,20,5.66,CK,1723070923
157,tocopilla,-22.092,-70.1979,17.38,70,3,6.35,CL,1723070705
158,westport,41.1415,-73.3579,19.94,84,100,4.12,US,1723070707
159,eraan,9.0629,117.7016,26.22,86,100,1.6,PH,1723070927
160,dompu,-8.5356,118.4622,23.02,97,52,0.88,ID,1723070928
161,mahibadhoo,3.7833,72.9667,27.22,80,100,7.55,MV,1723070929
162,murghob,38.1702,73.9667,10.99,40,24,2.0,TJ,1723070930
163,hithadhoo,-0.6,73.0833,28.44,73,100,3.11,MV,1723070931
164,la mira,18.035,-102.3266,30.19,69,63,6.37,MX,1723070932
165,tiszaujvaros,47.9333,21.0833,22.61,49,41,1.12,HU,1723070933
166,faya-largeau,17.9257,19.1043,34.44,39,95,5.5,TD,1723070935
167,bathsheba,13.2167,-59.5167,29.34,79,40,7.2,BB,1723070936
168,newman,37.3138,-121.0208,42.19,8,2,5.04,US,1723070745
169,acapulco de juarez,16.8634,-99.8901,30.9,66,75,6.17,MX,1723070941
170,qaqortoq,60.7167,-46.0333,8.09,91,100,3.14,GL,1723070942
171,manali,13.1667,80.2667,26.17,91,100,1.34,IN,1723070943
172,santa elena de uairen,4.6167,-61.1333,19.74,90,29,1.07,VE,1723070944
173,ca mau,9.1769,105.15,25.48,89,47,1.37,VN,1723070945
174,sines,37.9562,-8.8698,18.49,76,0,1.34,PT,1723070789
175,khanty-mansiysk,61.0042,69.0019,13.06,58,0,2.0,RU,1723070948
176,ushuaia,-54.8,-68.3,-0.19,80,0,1.03,AR,1723070726
177,port macquarie,-31.4333,152.9167,15.04,78,100,0.89,AU,1723070950
178,kidal,18.4411,1.4078,31.64,52,38,8.34,ML,1723070951
179,khabarovsk,48.4808,135.0928,21.89,94,40,2.0,RU,1723070719
180,tangalle,6.024,80.7911,25.4,90,39,4.07,LK,1723070953
181,bargaal,11.2864,51.0773,28.17,66,12,7.3,SO,1723070954
182,meadow lakes,61.6247,-149.6011,17.92,90,100,2.57,US,1723070957
183,mount isa,-20.7333,139.5,15.87,44,0,2.06,AU,1723070958
184,korla,41.7597,86.1469,20.44,49,19,4.89,CN,1723070959
185,kamphaeng phet,16.25,99.5,24.68,86,100,0.92,TH,1723070960
